id,age,gender,study_hours,attendance,internet_access,sleep_hours,Score,course_1,course_2,course_3,course_4,course_5,course_6,sleep_quality_1,sleep_quality_2,study_method_1,study_method_2,study_method_3,study_method_4,facility_rating_1,facility_rating_2,exam_difficulty_1,exam_difficulty_2
92,23,0,5.5,59.3,0,7.6,65.8,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False
93,23,2,1.0,96.1,1,4.5,61.1,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True
94,20,0,3.68,73.1,1,9.3,65.8,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False
95,24,1,3.71,79.2,0,5.4,49.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
96,19,0,6.68,44.6,1,6.6,66.3,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
97,18,2,3.75,69.3,1,9.1,63.9,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True
98,22,2,3.25,74.8,1,8.3,49.5,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
99,22,1,0.99,57.4,1,8.3,40.0,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True
100,18,2,5.56,84.1,1,8.8,78.7,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False
101,23,0,4.96,68.0,1,9.8,61.4,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
102,18,1,5.74,73.7,0,4.2,69.6,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
103,23,0,5.25,61.7,1,9.9,71.9,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True
104,17,1,7.0,80.6,1,9.6,88.5,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True
105,23,1,7.02,46.2,1,4.9,63.8,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True
106,23,2,2.46,70.4,1,5.8,37.1,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False
107,23,2,1.46,93.7,1,8.0,51.1,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False
108,22,0,7.41,54.1,1,9.3,91.3,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
109,20,2,5.7,92.1,1,7.3,95.2,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
110,22,2,7.77,93.1,1,7.1,74.3,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False
111,19,0,3.98,53.8,0,4.7,64.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
112,23,1,7.7,44.8,1,8.3,79.6,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
113,21,0,0.98,85.9,1,7.0,51.8,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
114,20,1,4.72,97.5,1,4.6,74.4,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True
115,21,2,3.97,55.3,1,9.5,69.9,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False
116,21,0,0.08,94.8,1,5.4,26.5,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
117,17,2,1.54,52.5,1,7.2,45.5,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True
118,18,2,1.23,61.6,1,9.0,57.0,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False
119,18,0,0.49,93.2,1,8.0,52.8,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False
120,17,2,7.59,58.2,1,5.4,93.1,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True
121,20,2,7.72,85.3,1,9.9,100.0,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True
122,22,2,7.13,48.8,1,4.6,81.6,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True
123,22,1,7.91,62.7,1,8.8,100.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
124,20,0,6.65,96.4,1,6.8,100.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
125,23,2,7.46,53.6,1,4.4,76.9,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True
126,21,2,1.58,82.1,1,5.5,51.9,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False
127,17,0,2.06,95.2,1,4.5,51.0,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True
128,23,1,6.9,87.1,1,5.2,71.1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
129,21,1,3.84,96.9,1,9.3,86.9,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True
130,22,0,5.74,96.6,1,5.8,67.4,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True
131,21,0,4.5,46.8,1,7.7,76.3,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
132,21,2,2.45,76.1,1,5.2,40.7,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
133,17,1,2.28,65.6,1,5.5,19.599,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True
134,21,0,5.99,81.0,1,6.1,71.9,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False
135,23,1,4.26,84.6,1,9.7,56.6,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
136,19,2,2.88,54.7,1,5.3,64.9,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
137,21,1,4.94,88.0,1,7.9,65.6,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False
138,17,1,3.36,64.6,0,6.2,49.0,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True
139,19,1,3.8,79.4,1,4.9,53.7,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
140,20,1,5.42,65.7,1,7.3,72.2,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True
141,24,0,3.66,60.8,0,6.2,65.4,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False
142,18,0,7.6,81.6,1,9.2,83.3,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True
143,19,0,3.88,72.5,0,9.6,41.8,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False
144,20,2,7.69,91.2,1,7.4,69.4,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False
145,24,0,6.78,87.2,1,5.8,75.4,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
146,23,1,7.13,92.1,1,7.2,66.9,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
147,17,0,6.11,85.9,0,9.3,100.0,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False
148,18,2,4.84,95.0,1,8.0,70.7,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
149,23,0,4.26,49.4,1,4.5,34.3,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
150,17,1,4.41,78.4,1,4.4,83.7,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
151,23,2,1.61,44.9,1,4.9,29.2,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False
152,19,2,1.72,70.0,1,7.4,60.9,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False
153,24,1,0.27,91.7,1,5.0,36.3,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
154,19,0,5.96,83.5,1,5.5,69.1,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
155,20,0,1.0,75.0,1,7.2,63.5,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True
156,22,1,4.66,81.6,1,7.4,82.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
157,18,1,1.1,50.4,1,8.9,38.8,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
158,21,2,0.53,95.8,0,6.6,56.9,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
159,21,0,4.27,52.7,1,8.7,45.7,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True
160,23,2,6.98,50.0,1,4.5,92.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
161,24,0,2.85,48.4,1,7.3,32.1,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True
162,22,0,7.35,96.2,1,6.6,100.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
163,20,2,0.08,67.7,1,9.5,40.8,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False
164,20,1,3.73,72.0,1,8.3,69.5,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
165,20,0,1.17,62.7,1,8.1,39.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
166,23,1,2.53,41.6,0,9.4,23.5,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
167,19,1,0.19,44.0,1,5.5,19.599,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False
168,18,2,0.28,40.9,0,8.5,46.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
169,19,1,5.7,72.3,1,9.2,67.9,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True
170,17,0,5.24,51.6,1,9.9,54.0,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True
171,17,0,1.67,64.1,1,6.6,53.5,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True
172,17,2,7.21,67.6,1,8.0,77.8,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
173,23,0,5.5,72.0,1,5.1,68.1,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True
174,22,2,2.69,93.6,0,7.4,49.0,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True
175,22,2,3.26,42.6,1,6.7,52.2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
176,20,2,2.34,69.7,1,4.8,55.4,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
177,22,2,6.64,47.9,1,9.5,69.4,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
178,18,1,3.95,95.6,1,9.4,80.7,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True
179,24,1,1.08,95.0,1,9.8,32.0,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,True
180,21,0,1.61,48.4,1,5.1,34.3,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
181,24,0,2.37,47.0,1,4.1,35.4,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
182,18,2,3.23,46.6,1,8.5,57.8,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False
183,20,2,4.74,45.9,1,5.6,50.4,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
184,22,1,7.71,49.5,1,7.8,87.2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
185,20,1,2.1,49.3,1,7.2,56.6,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
186,20,1,2.63,49.8,1,7.5,91.6,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True
187,18,0,0.19,48.9,1,7.0,23.7,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
188,20,0,2.98,62.7,1,4.1,56.5,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False
189,18,1,5.4,55.2,1,5.6,76.1,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
190,19,2,7.7,65.0,1,9.5,73.1,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
191,22,1,5.92,93.6,1,6.5,74.8,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True
192,22,0,0.94,61.1,1,5.9,21.4,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False
193,21,2,7.12,57.2,1,4.1,69.5,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
194,19,1,6.71,94.9,1,6.2,90.0,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
195,24,2,1.51,59.3,1,5.3,44.3,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False
196,17,2,7.47,47.3,1,7.1,66.6,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True
197,19,2,5.71,77.1,1,8.2,83.5,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
198,17,1,6.26,56.9,0,4.4,70.9,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
199,19,0,3.67,71.2,1,8.3,67.9,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False
200,24,1,1.61,86.1,1,4.1,44.7,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False
201,19,0,6.39,73.9,1,8.1,84.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
202,24,2,3.82,88.5,1,4.9,73.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
203,20,2,7.74,60.7,0,6.1,65.0,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True
204,22,2,1.23,50.1,1,4.7,31.4,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True
205,20,0,2.84,63.7,1,7.3,48.5,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
206,19,2,5.88,64.7,1,8.8,78.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
207,23,2,4.58,83.0,1,7.4,90.9,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
208,24,2,3.47,81.2,0,9.4,39.6,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True
209,19,2,5.61,58.6,1,4.2,66.5,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
210,23,0,5.87,95.8,1,6.1,83.1,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
211,19,1,4.62,56.5,1,6.3,40.2,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True
212,22,1,2.55,99.4,1,5.9,57.6,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
213,23,2,4.95,42.0,1,6.5,51.5,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
214,20,1,4.36,80.4,0,7.4,92.2,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
215,22,1,6.38,77.2,1,5.2,72.7,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True
216,19,2,5.23,75.1,1,5.2,69.9,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True
217,17,0,3.97,86.7,1,4.9,62.6,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True
218,17,2,0.15,75.5,1,5.8,27.7,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False
219,20,1,1.34,76.6,1,7.9,55.9,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False
220,24,0,2.69,92.6,1,7.1,57.2,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
221,18,0,4.81,51.2,1,5.7,69.9,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False
222,20,0,6.34,71.9,1,9.8,84.6,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
223,22,0,7.68,82.7,1,7.8,100.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
224,18,1,4.8,58.5,1,5.6,61.6,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True
225,22,2,5.83,53.2,1,4.3,59.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
226,19,1,4.97,47.7,1,5.4,37.9,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
227,23,0,3.44,55.8,1,6.9,40.8,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True
228,21,2,4.88,80.0,1,5.2,73.6,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
229,21,0,3.21,76.9,1,5.9,52.1,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False
230,18,1,3.63,50.3,1,9.9,65.9,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
231,20,1,7.29,69.5,1,9.6,100.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
232,23,0,4.51,52.8,1,7.1,70.6,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
233,17,0,0.8,96.2,1,9.0,61.6,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True
234,23,2,4.19,83.4,0,5.7,74.8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
235,20,1,7.63,50.4,0,8.5,68.6,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True
236,22,0,0.8,57.4,1,9.4,57.4,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
237,22,1,7.77,91.2,1,9.0,95.5,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
238,20,0,7.9,73.4,1,7.8,89.0,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True
239,19,0,4.49,61.4,1,9.0,72.6,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
240,22,1,2.66,75.9,1,4.1,44.3,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
241,18,1,0.08,63.4,0,6.3,19.599,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False
242,21,1,0.12,94.7,1,8.6,61.2,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
243,17,0,3.1,92.4,1,6.4,54.6,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
244,22,1,6.26,49.6,1,5.1,95.6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
245,22,1,7.54,80.6,1,8.6,90.6,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True
